Time Stamp,Ignition Advance," RPM",AuxInput," AFM (V)",DME Voltage (V)," IAT (F)"," ECT (F)",Throttle Switch," ICV (%)",Fly. Mark (Errors),Fly. RPM (Errors),Fly. Tooth (Count),Flywheel Vehicle," NBO2 (V)",NBO2 Digital," FQS"," BAP (PSI)"," MAP (PSI)"," WBO2 (AFR)"," WBO2 (Lamda)",Ign. Dwell (ms),Inj. Pulse (ms),Fuel Pump,DME Program,Codeing Plug,AC Comp.
01:14:59:268845,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:284466,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:300085,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:315705,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:331325,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:346945,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:362566,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:378185,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:393805,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:409424,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:425048,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:440664,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:456285,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
01:14:59:471905,- - - -,- - - -,Disabled,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,- - - -,Disabled,Disabled,- - - -,- - - -,- - - -,28 Pin,Removed,- - - -
